Profile Type,Bank/Issuer Name,Payment Method Brand,Payment Method Type,Used For Collections,Used For Disbursements,Is the Latest Version,Not Payable,Billing Country,Country,Region,Deleted At
STORED_VALUE,"","","",true,false,false,false,"","","",""
STORED_VALUE,"","","",true,false,true,false,"","","",""
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,true,false,US,United States,US & Canada,2020-11-14T07:44:31.224Z
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,true,false,US,United States,US & Canada,2020-11-14T15:23:45.700Z
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,true,false,US,United States,US & Canada,2020-11-14T18:47:06.108Z
BANK_CARD,"Chase Bank USA, National Association",VISA,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"Chase Bank USA, National Association",VISA,CREDIT,true,false,true,false,US,United States,US & Canada,2021-09-10T01:56:36.000Z
BANK_CARD,"CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION",MASTERCARD,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION",MASTERCARD,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION",MASTERCARD,CREDIT,true,false,true,false,US,United States,US & Canada,""
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"Capital One Bank (Usa), National Association",VISA,CREDIT,true,false,true,false,US,United States,US & Canada,2020-11-14T15:24:45.185Z
BANK_CARD,"CAPITAL ONE, NATIONAL ASSOCIATION",MASTERCARD,CREDIT,true,false,false,false,US,United States,US & Canada,""
BANK_CARD,"CAPITAL ONE, NATIONAL ASSOCIATION",MASTERCARD,CREDIT,true,false,true,false,US,United States,US & Canada,2020-11-14T14:02:32.281Z
APPLE_PAY_DISPLAY,"","","",true,false,true,false,"","","",""
APPLE_PAY,"",APPLE PAY MC,"",true,false,false,false,"","","",""
APPLE_PAY,"",APPLE PAY MC,"",true,false,true,false,"","","",""
APPLE_PAY,JPMorgan Chase,APPLE PAY VISA,CREDIT,true,false,false,false,US,United States,US & Canada,""
APPLE_PAY,JPMorgan Chase,APPLE PAY VISA,CREDIT,true,false,true,false,US,United States,US & Canada,""
APPLE_PAY,"",APPLE PAY VISA,"",true,false,true,false,"","","",""
APPLE_PAY,"",APPLE PAY MC,"",true,false,false,false,"","","",""
APPLE_PAY,"",APPLE PAY MC,"",true,false,false,false,"","","",""
APPLE_PAY,"",APPLE PAY MC,"",true,false,true,false,"","","",""
