date,Firehouse Subs,McDonald's,North Italia,The Halal Guys,Goldenpot,Panera,KFC,Chick-fil-A,Jack in the Box,Taco Bell
2021-12-11,0,0,0,29.33,0,0,0,0,0,0
2021-12-07,0,0,0,44.03,0,0,0,0,0,0
2021-12-04,0,17.05,0,0,0,0,0,0,0,0
2021-12-01,0,0,0,29.33,0,0,0,0,0,0
2021-11-29,0,0,0,29.33,0,0,0,0,0,0
2021-11-22,0,0,0,0,0,0,46.3,0,0,0
2021-11-19,0,0,0,29.33,0,0,0,0,0,0
2021-11-17,0,0,0,18.01,0,0,0,0,0,0
2021-11-15,0,0,0,29.33,0,0,0,0,0,0
2021-11-12,0,0,0,29.9,0,0,0,0,0,0
2021-11-09,0,0,0,29.33,0,0,0,0,0,0
2021-11-08,0,19.11,0,0,0,0,0,0,0,0
2021-11-02,0,0,0,0,0,0,0,0,0,0
2021-10-28,0,19.11,0,0,0,0,0,0,0,0
2021-10-17,0,0,0,18.01,0,0,0,0,0,0
2021-10-15,0,0,0,18.01,0,0,0,0,0,0
2021-10-12,0,0,0,27.19,0,0,0,0,0,0
2021-10-10,0,0,0,24.9,0,0,0,0,0,0
2021-10-08,0,0,0,18.01,0,0,0,0,0,0
2021-10-05,0,0,0,18.01,0,0,0,0,0,0
2021-09-29,0,18.53,0,0,0,0,0,0,0,0
2021-09-28,0,0,0,29.9,0,0,0,0,0,0
2021-09-27,0,0,0,17.01,0,0,0,0,0,0
2021-08-11,0,0,0,17.02,0,0,0,0,0,0
2021-08-10,0,0,0,32.5,0,0,0,0,0,0
2021-07-30,0,0,0,17.02,0,0,0,0,0,0
2021-07-25,0,19.62,0,30.32,0,0,0,0,0,0
2021-07-23,0,0,0,17.02,0,0,0,0,0,0
2021-07-18,0,0,0,17.02,0,0,0,0,0,0
2021-07-17,0,0,0,0,0,27.53,0,0,0,0
2021-07-15,0,0,0,16.93,0,0,0,0,0,0
2021-07-14,0,0,0,30.48,0,0,0,0,0,0
2021-07-10,0,18.89,0,0,0,0,0,0,0,0
2021-07-09,0,0,0,28.73,0,0,0,0,0,0
2021-07-06,0,0,0,15.93,0,0,0,0,0,0
2021-07-01,0,0,0,15.93,0,0,0,0,0,0
2021-06-30,0,0,0,15.93,0,0,0,0,0,0
2021-06-18,0,0,0,15.93,0,0,0,0,0,0
2021-06-17,0,0,0,15.93,0,0,0,0,0,0
2021-06-10,0,0,0,27.73,0,0,0,0,0,0
2021-06-08,0,0,0,15.93,0,0,0,0,0,0
2021-06-07,0,0,0,0,0,33.61,0,0,0,0
2021-06-01,0,0,0,15.93,0,0,0,0,0,0
2021-05-26,0,0,0,27.73,0,0,0,0,0,0
2021-05-18,0,0,0,15.93,0,0,0,0,0,0
2021-05-16,0,0,0,18.71,0,0,0,0,0,0
